Task: A5 - Monthly Volumes (US vs CANADA)
Format: TXT
Duration: 14.39s

3,CANADA,1992-01,29
3,CANADA,1992-02,99
3,CANADA,1992-03,198
3,CANADA,1992-04,285
3,CANADA,1992-05,349
3,CANADA,1992-06,317
3,CANADA,1992-07,362
3,CANADA,1992-08,335
3,CANADA,1992-09,292
3,CANADA,1992-10,286
3,CANADA,1992-11,321
3,CANADA,1992-12,314
3,CANADA,1993-01,344
3,CANADA,1993-02,314
3,CANADA,1993-03,350
3,CANADA,1993-04,305
3,CANADA,1993-05,286
3,CANADA,1993-06,322
3,CANADA,1993-07,324
3,CANADA,1993-08,336
3,CANADA,1993-09,293
3,CANADA,1993-10,335
3,CANADA,1993-11,281
3,CANADA,1993-12,296
3,CANADA,1994-01,309
3,CANADA,1994-02,265
3,CANADA,1994-03,307
3,CANADA,1994-04,262
3,CANADA,1994-05,294
3,CANADA,1994-06,289
3,CANADA,1994-07,300
3,CANADA,1994-08,315
3,CANADA,1994-09,317
3,CANADA,1994-10,329
3,CANADA,1994-11,299
3,CANADA,1994-12,301
3,CANADA,1995-01,299
3,CANADA,1995-02,301
3,CANADA,1995-03,292
3,CANADA,1995-04,299
3,CANADA,1995-05,294
3,CANADA,1995-06,319
3,CANADA,1995-07,332
3,CANADA,1995-08,331
3,CANADA,1995-09,317
3,CANADA,1995-10,296
3,CANADA,1995-11,304
3,CANADA,1995-12,327
3,CANADA,1996-01,283
3,CANADA,1996-02,304
3,CANADA,1996-03,356
3,CANADA,1996-04,361
3,CANADA,1996-05,347
3,CANADA,1996-06,278
3,CANADA,1996-07,310
3,CANADA,1996-08,305
3,CANADA,1996-09,300
3,CANADA,1996-10,264
3,CANADA,1996-11,277
3,CANADA,1996-12,295
3,CANADA,1997-01,348
3,CANADA,1997-02,292
3,CANADA,1997-03,317
3,CANADA,1997-04,335
3,CANADA,1997-05,336
3,CANADA,1997-06,294
3,CANADA,1997-07,278
3,CANADA,1997-08,311
3,CANADA,1997-09,274
3,CANADA,1997-10,285
3,CANADA,1997-11,320
3,CANADA,1997-12,295
3,CANADA,1998-01,338
3,CANADA,1998-02,313
3,CANADA,1998-03,369
3,CANADA,1998-04,349
3,CANADA,1998-05,352
3,CANADA,1998-06,324
3,CANADA,1998-07,346
3,CANADA,1998-08,334
3,CANADA,1998-09,196
3,CANADA,1998-10,129
3,CANADA,1998-11,50
24,UNITED STATES,1992-01,27
24,UNITED STATES,1992-02,100
24,UNITED STATES,1992-03,194
24,UNITED STATES,1992-04,273
24,UNITED STATES,1992-05,301
24,UNITED STATES,1992-06,291
24,UNITED STATES,1992-07,330
24,UNITED STATES,1992-08,325
24,UNITED STATES,1992-09,331
24,UNITED STATES,1992-10,327
24,UNITED STATES,1992-11,339
24,UNITED STATES,1992-12,288
24,UNITED STATES,1993-01,318
24,UNITED STATES,1993-02,251
24,UNITED STATES,1993-03,282
24,UNITED STATES,1993-04,302
24,UNITED STATES,1993-05,285
24,UNITED STATES,1993-06,296
24,UNITED STATES,1993-07,285
24,UNITED STATES,1993-08,274
24,UNITED STATES,1993-09,263
24,UNITED STATES,1993-10,271
24,UNITED STATES,1993-11,256
24,UNITED STATES,1993-12,303
24,UNITED STATES,1994-01,261
24,UNITED STATES,1994-02,251
24,UNITED STATES,1994-03,259
24,UNITED STATES,1994-04,235
24,UNITED STATES,1994-05,327
24,UNITED STATES,1994-06,291
24,UNITED STATES,1994-07,299
24,UNITED STATES,1994-08,305
24,UNITED STATES,1994-09,246
24,UNITED STATES,1994-10,289
24,UNITED STATES,1994-11,281
24,UNITED STATES,1994-12,350
24,UNITED STATES,1995-01,360
24,UNITED STATES,1995-02,306
24,UNITED STATES,1995-03,371
24,UNITED STATES,1995-04,365
24,UNITED STATES,1995-05,343
24,UNITED STATES,1995-06,322
24,UNITED STATES,1995-07,280
24,UNITED STATES,1995-08,281
24,UNITED STATES,1995-09,282
24,UNITED STATES,1995-10,292
24,UNITED STATES,1995-11,296
24,UNITED STATES,1995-12,326
24,UNITED STATES,1996-01,361
24,UNITED STATES,1996-02,328
24,UNITED STATES,1996-03,332
24,UNITED STATES,1996-04,273
24,UNITED STATES,1996-05,309
24,UNITED STATES,1996-06,293
24,UNITED STATES,1996-07,290
24,UNITED STATES,1996-08,315
24,UNITED STATES,1996-09,260
24,UNITED STATES,1996-10,306
24,UNITED STATES,1996-11,293
24,UNITED STATES,1996-12,285
24,UNITED STATES,1997-01,310
24,UNITED STATES,1997-02,249
24,UNITED STATES,1997-03,304
24,UNITED STATES,1997-04,249
24,UNITED STATES,1997-05,272
24,UNITED STATES,1997-06,278
24,UNITED STATES,1997-07,308
24,UNITED STATES,1997-08,307
24,UNITED STATES,1997-09,297
24,UNITED STATES,1997-10,340
24,UNITED STATES,1997-11,294
24,UNITED STATES,1997-12,307
24,UNITED STATES,1998-01,320
24,UNITED STATES,1998-02,275
24,UNITED STATES,1998-03,316
24,UNITED STATES,1998-04,281
24,UNITED STATES,1998-05,302
24,UNITED STATES,1998-06,263
24,UNITED STATES,1998-07,320
24,UNITED STATES,1998-08,262
24,UNITED STATES,1998-09,187
24,UNITED STATES,1998-10,112
24,UNITED STATES,1998-11,39
